name,party,year,geography,war,war_text
Christine Bish,R,2024,CA-06,0.9,R+0.9
Christine Brown,D,2018,WA-04,-4.2,R+4.2
Christine Bubser,D,2020,CA-08,2.0,D+2
Christine Olivo,D,2022,FL-26,-8.3,R+8.3
Christine Quinn,R,2020,FL-14,-3.2,D+3.2
Christine Russell,R,2018,CA-18,8.5,R+8.5
Christine Villaverde,R,2022,NC-02,-0.9,D+0.9
Christopher Christensen,R,2020,OR-01,1.2,R+1.2
Christopher Dziados,D,2024,PA-14,4.0,D+4
Christopher Finley,D,2020,TN-06,1.5,D+1.5
Christopher Gonzales,R,2022,CA-46,1.9,R+1.9
Christopher Hale,D,2020,TN-04,8.5,D+8.5
Christopher Mann,R,2022,OR-01,1.5,R+1.5
Christopher Morse,R,2016,MI-09,-5.3,D+5.3
Christopher Peters,R,2018,IA-02,0.1,R+0.1
Christopher Ward,D,2020,NC-07,2.2,D+2.2
Christy Smith,D,2022,CA-27,-8.7,R+8.7
Chuck Edwards,R,2024,NC-11,-1.5,D+1.5
Chuck Enderlin,D,2018,GA-03,0.5,D+0.5
Chuck Fleischmann,R,2024,TN-03,-0.6,D+0.6
Chuck Hubbard,D,2024,NC-05,4.1,D+4.1
Chuck Stadler,D,2014,MI-10,-17.8,R+17.8
Chuy Garcia,D,2024,IL-04,7.4,D+7.4
Cicely Davis,R,2022,MN-05,12.3,R+12.3
Cinde Wirth,D,2022,IN-06,4.1,D+4.1
Cindy Axne,D,2022,IA-03,1.9,D+1.9
Cindy Banyai,D,2022,FL-19,-1.4,R+1.4
Cindy Wirth,D,2024,IN-06,1.3,D+1.3
