district,pct_college,pct_white_nh_college,pct_white_nh_non_college,pct_nonwhite_college,pct_nonwhite_non_college,pct_under_30,pct_30_44,pct_45_64,pct_65_plus,median_age,median_income,total_population_acs,source
CA-14,49.78,13.2,13.87,36.58,36.35,16.57,30.72,34.28,18.43,40.2,152972,760582,ACS_2023_tract_to_new_lines
CA-15,48.39,18.73,12.15,29.66,39.46,17.43,28.39,33.28,20.89,40.8,152690,759058,ACS_2023_tract_to_new_lines
CA-16,61.92,32.0,13.63,29.92,24.45,18.29,26.0,34.28,21.44,41.2,172834,758780,ACS_2023_tract_to_new_lines
CA-17,63.41,14.45,9.06,48.96,27.53,21.46,32.59,30.21,15.74,37.8,178171,758885,ACS_2023_tract_to_new_lines
CA-18,23.24,9.38,14.01,13.86,62.75,23.7,28.6,31.28,16.42,35.0,105399,770826,ACS_2023_tract_to_new_lines
CA-19,47.03,28.25,25.33,18.78,27.64,20.2,23.47,32.66,23.67,42.3,134899,758545,ACS_2023_tract_to_new_lines
CA-20,25.87,15.29,36.78,10.58,37.35,20.88,28.6,31.11,19.41,36.3,89246,762909,ACS_2023_tract_to_new_lines
CA-21,17.23,7.51,18.23,9.72,64.55,25.16,29.63,28.63,16.57,32.1,63654,756411,ACS_2023_tract_to_new_lines
CA-22,10.92,3.7,15.31,7.22,73.77,27.72,29.88,28.99,13.41,30.3,60676,778145,ACS_2023_tract_to_new_lines
CA-23,19.01,10.56,33.75,8.44,47.24,21.08,27.97,31.41,19.54,36.3,76111,769312,ACS_2023_tract_to_new_lines
CA-24,38.5,28.3,28.63,10.2,32.87,26.44,22.36,28.44,22.77,39.3,99227,764734,ACS_2023_tract_to_new_lines
CA-25,22.25,12.53,23.17,9.72,54.59,20.64,24.8,29.34,25.23,39.4,73064,763761,ACS_2023_tract_to_new_lines
CA-26,38.55,24.09,23.52,14.47,37.93,19.56,25.16,33.76,21.52,40.2,119600,758413,ACS_2023_tract_to_new_lines
CA-27,28.59,13.44,22.17,15.15,49.24,20.8,27.15,34.88,17.18,37.0,99664,760129,ACS_2023_tract_to_new_lines
CA-28,46.38,16.25,12.55,30.13,41.07,16.2,25.58,34.5,23.72,43.3,110721,758019,ACS_2023_tract_to_new_lines
CA-29,25.51,11.36,14.3,14.15,60.19,22.84,29.31,31.9,15.95,36.6,78533,757430,ACS_2023_tract_to_new_lines
CA-30,50.34,31.02,25.5,19.32,24.16,18.84,31.75,30.16,19.24,40.5,95621,758223,ACS_2023_tract_to_new_lines
CA-31,29.05,7.41,13.13,21.64,57.82,20.91,25.87,33.38,19.84,39.3,98387,758733,ACS_2023_tract_to_new_lines
CA-32,50.86,32.88,23.57,17.98,25.56,18.58,26.38,33.45,21.59,41.8,126471,758634,ACS_2023_tract_to_new_lines
CA-33,22.65,7.43,14.14,15.22,63.21,25.31,29.52,30.73,14.44,33.5,90536,757177,ACS_2023_tract_to_new_lines
CA-34,28.6,8.24,4.79,20.35,66.61,23.35,30.88,29.61,16.16,36.5,67664,757694,ACS_2023_tract_to_new_lines
CA-35,26.6,7.74,14.12,18.86,59.28,23.88,28.93,32.52,14.67,35.4,99387,765081,ACS_2023_tract_to_new_lines
CA-36,66.5,41.21,16.95,25.29,16.55,19.86,27.62,31.38,21.14,41.5,136255,758224,ACS_2023_tract_to_new_lines
